Name,Popularity
Anna,9
Mary,9
Margaret,6
Elizabeth,5
Alice,4
Bertha,4
Ellen,4
Helen,4
Annie,3
Augusta,3
Hanora,3
Kate,3
Katherine,3
Amelia,2
Bridget,2
Constance,2
Elsie,2
Emily,2
Ida,2
Lillian,2
Mabel,2
Madeleine,2
Marie,2
Marija,2
Marion,2
Marjorie,2
Susan,2
Adele,1
Agda,1
Agnes,1
Albina,1
Aloisia,1
Amelie,1
Amy,1
Ann,1
Anne,1
Asuncion,1
Aurora,1
Banoura,1
Brigdet,1
Carla,1
Caroline,1
Catharina,1
Catherine,1
Clear,1
Daisy,1
Delia,1
Doolina,1
Dorothy,1
Ebba,1
Edwina,1
Eleanor,1
Eliina,1
Elina,1
Elisabeth,1
Elise,1
Ellis,1
Erna,1
Ethel,1
Eugenie,1
Eva,1
Georgette,1
Gerda,1
Gladys,1
Gretchen,1
Harriet,1
Hedwig,1
Helene,1
Helmina,1
Henriette,1
Hilda,1
Hildur,1
Hileni,1
Hulda,1
Ingeborg,1
Jamila,1
Jean,1
Jeannie,1
Jessie,1
Joan,1
Julie,1
Katie,1
Katriina,1
Kornelia,1
Kristina,1
Laina,1
Laura,1
Lucile,1
Lucy,1
Luise,1
Lyyli,1
Malake,1
Manca,1
Margareth,1
Margit,1
Marguerite,1
Mari,1
Maria,1
Mathilde,1
Matilda,1
Nora,1
Nourelain,1
Phyllis,1
Pieta,1
Roberta,1
Robina,1
Rosalie,1
Ruth,1
Saiide,1
Sara,1
Sigrid,1
Simonne,1
Stella,1
Stina,1
Telma,1
Thamine,1
Torborg,1
Velin,1
Virginia,1
Wendla,1
